T_real,T_AI,k,beta,test_error
100,10.0,1000,1.5,0.24032917884400695
100,10.493503267611478,1000,1.5,0.24001799610206465
100,11.011361082737277,1000,1.5,0.2396934427135739
100,11.55477535025535,1000,1.5,0.23935503597462549
100,12.125007289442108,1000,1.5,0.2390022840170694
100,12.723380361157377,1000,1.5,0.23863468641328683
100,13.351283339486864,1000,1.5,0.23825173486619572
100,14.01017353497121,1000,1.5,0.23785291398878727
100,14.701580176902427,1000,1.5,0.23743770217724686
100,15.427107962537775,1000,1.5,0.2370055725813991
100,16.188440781468522,1000,1.5,0.23655599417582257
100,16.987345623787483,1000,1.5,0.23608843293449766
100,17.82567668112595,1000,1.5,0.23560235311128097
100,18.705379650078093,1000,1.5,0.2350972186278314
100,19.628496248000772,1000,1.5,0.2345724945698494
100,20.597168951669577,1000,1.5,0.2340276487916239
100,21.61364596978904,1000,1.5,0.23346215362791595
100,22.680286460897893,1000,1.5,0.23287548771114158
100,23.799566008779642,1000,1.5,0.2322671378906569
100,24.974082368086428,1000,1.5,0.2316366012496931
100,26.206561493511312,1000,1.5,0.23098338721416029
100,27.499863866502213,1000,1.5,0.23030701974613177
100,28.85699113420118,1000,1.5,0.22960703961336182
100,30.281093076017555,1000,1.5,0.2288830067246888
100,31.775474914003755,1000,1.5,0.2281345025196559
100,33.3436049840005,1000,1.5,0.2273611323991624
100,34.98912278535556,1000,1.5,0.2265625281824712
100,36.71584742789879,1000,1.5,0.2257383505744603
100,38.52778649577804,1000,1.5,0.22488829162566076
100,40.429145348728426,1000,1.5,0.22401207716638777
100,42.42433688236211,1000,1.5,0.22310946919518898
100,44.5179917701317,1000,1.5,0.2221802682009309
100,46.71496921073779,1000,1.5,0.22122431539715048
100,49.02036820592467,1000,1.5,0.2202414948468528
100,51.43953939483883,1000,1.5,0.21923173545575225
100,53.97809747241707,1000,1.5,0.21819501281207015
100,56.64193422062594,1000,1.5,0.21713135085142515
100,59.437232182797274,1000,1.5,0.21604082332610647
100,62.37047901279654,1000,1.5,0.21492355505910482
100,65.44848253232736,1000,1.5,0.213779722964698
100,68.67838653131899,1000,1.5,0.2126095568191384
100,72.067687348068,1000,1.5,0.21141333976705196
100,75.6242512676154,1000,1.5,0.21019140855151652
100,79.35633277873937,1000,1.5,0.20894415345840367
100,83.27259373193655,1000,1.5,0.20767201796841128
100,87.38212344285594,1000,1.5,0.20637549811323824
100,91.69445978784384,1000,1.5,0.20505514153550608
100,96.21961134056087,1000,1.5,0.203711546255265
100,100.9680806010482,1000,1.5,0.2023453591491723
100,105.95088837115578,1000,1.5,0.20095727415164277
100,111.17959933290628,1000,1.5,0.19954803019038309
100,116.66634888915877,1000,1.5,0.1981184088716793
100,122.42387132886877,1000,1.5,0.1966692319335503
100,128.4655293823131,1000,1.5,0.19520135848736297
100,134.80534523487418,1000,1.5,0.1937156820706859
100,141.45803307136464,1000,1.5,0.1922131275359903
100,148.43903322642566,1000,1.5,0.19069464780127432
100,155.7645480202586,1000,1.5,0.18916122048975936
100,163.45157936286094,1000,1.5,0.18761384448647767
100,171.5179682140439,1000,1.5,0.18605353643983913
100,179.98243599081505,1000,1.5,0.18448132723613253
100,188.86462801822907,1000,1.5,0.18289825847440672
100,198.1851591245514,1000,1.5,0.18130537896830712
100,207.96566148655822,1000,1.5,0.1797037413002418
100,218.22883483601802,1000,1.5,0.17809439845176206
100,228.99849914387997,1000,1.5,0.1764784005322939
100,240.29964990444302,1000,1.5,0.174856791626404
100,252.15851614781684,1000,1.5,0.1732306067776584
100,264.60262131531766,1000,1.5,0.17160086912489209
100,277.6608471390847,1000,1.5,0.16996858720438868
100,291.3635006741758,1000,1.5,0.16833475242911816
100,305.7423846387185,1000,1.5,0.1667003367538376
100,320.8308712253716,1000,1.5,0.16506629053256083
100,336.6639795554073,1000,1.5,0.1634335405726824
100,353.2784569551752,1000,1.5,0.16180298838792784
100,370.71286424358743,1000,1.5,0.1601755086503171
100,389.00766522856935,1000,1.5,0.158551947839498
100,408.20532062019026,1000,1.5,0.15693312308613588
100,428.350386578436,1000,1.5,0.15531982120455495
100,449.48961812434607,1000,1.5,0.1537127979085156
100,471.6720776545259,1000,1.5,0.15211277720288213
100,494.949248810886,1000,1.5,0.1505204509429911
100,519.3751559698882,1000,1.5,0.1489364785527615
100,545.0064896286245,1000,1.5,0.14736148689198675
100,571.9027379787431,1000,1.5,0.14579607026281394
100,600.1263249735888,1000,1.5,0.1442407905451238
100,629.7427552090026,1000,1.5,0.14269617745037755
100,660.8207659540327,1000,1.5,0.14116272888346829
100,693.432486684416,1000,1.5,0.13964091140220014
100,727.6536064890868,1000,1.5,0.13813116076420126
100,763.5635497382514,1000,1.5,0.13663388255134234
100,801.2456604207365,1000,1.5,0.13514945286207006
100,840.7873955784511,1000,1.5,0.1336782190624593
100,882.2805282869017,1000,1.5,0.13222050058723092
100,925.821360652859,1000,1.5,0.13077658978245885
100,971.5109473235286,1000,1.5,0.12934675278219387
100,1019.4553300259765,1000,1.5,0.1279312304117502
