T,k,beta,test_error
10.0,100,1.5,0.564158883361278
10.493503267611478,100,1.5,0.5567653656212166
11.011361082737277,100,1.5,0.5494896181243459
11.55477535025535,100,1.5,0.5423297649259982
12.125007289442108,100,1.5,0.5352839599631487
12.723380361157377,100,1.5,0.5283503865784361
13.351283339486864,100,1.5,0.5215272570517633
14.01017353497121,100,1.5,0.5148128121393607
14.701580176902427,100,1.5,0.5082053206201905
15.427107962537775,100,1.5,0.5017030788495775
16.188440781468522,100,1.5,0.4953044103199483
16.987345623787483,100,1.5,0.4890076652285694
17.82567668112595,100,1.5,0.48281122005216925
18.705379650078093,100,1.5,0.47671347712833667
19.628496248000772,100,1.5,0.4707128642435874
20.597168951669577,100,1.5,0.4648078342279912
21.61364596978904,100,1.5,0.45899686455625777
22.680286460897893,100,1.5,0.4532784569551753
23.799566008779642,100,1.5,0.44765113701730275
24.974082368086428,100,1.5,0.4421134538208157
26.206561493511312,100,1.5,0.4366639795554076
27.499863866502213,100,1.5,0.43130130915414944
28.85699113420118,100,1.5,0.42602405993121417
30.281093076017555,100,1.5,0.42083087122537166
31.775474914003755,100,1.5,0.41572040404916166
33.3436049840005,100,1.5,0.41069134074365565
34.98912278535556,100,1.5,0.40574238463871837
36.71584742789879,100,1.5,0.4008722597186798
38.52778649577804,100,1.5,0.39607971029333366
40.429145348728426,100,1.5,0.3913635006741759
42.42433688236211,100,1.5,0.3867224148558007
44.5179917701317,100,1.5,0.38215525620237123
46.71496921073779,100,1.5,0.3776608471390849
49.02036820592467,100,1.5,0.3732380288485526
51.43953939483883,100,1.5,0.36888566097201503
53.97809747241707,100,1.5,0.36460262131531773
56.64193422062594,100,1.5,0.3603878055595696
59.437232182797274,100,1.5,0.35624012697641116
62.37047901279654,100,1.5,0.3521585161478168
65.44848253232736,100,1.5,0.34814192069036143
68.67838653131899,100,1.5,0.3441893049838791
72.067687348068,100,1.5,0.34029964990444306
75.6242512676154,100,1.5,0.33647195256159984
79.35633277873937,100,1.5,0.3327052260397888
83.27259373193655,100,1.5,0.32899849914388013
87.38212344285594,100,1.5,0.3253508161487668
91.69445978784384,100,1.5,0.32176123655294475
96.21961134056087,100,1.5,0.31822883483601805
100.9680806010482,100,1.5,0.3147527002200677
105.95088837115578,100,1.5,0.31133193643482027
