cycle,H1_recursive,H2_recursive,H3_recursive,H4_recursive,H1_anchored,H2_anchored,H3_anchored,H4_anchored
0,0.45,0.25,0.2,0.10000000000000003,0.45,0.22,0.205,0.12500000000000008
1,0.4822465074841911,0.2378073561251785,0.1891918937813531,0.09075424260927734,0.4564848637311882,0.22374024200155684,0.20484583771347228,0.11492905655378263
2,0.5124133404785263,0.22620935450898988,0.17896786336287396,0.0824094416496099,0.46261928198227564,0.22742211877763568,0.20438525213473618,0.10557334710535249
3,0.5406346234610091,0.21517699410626445,0.16929634497812285,0.0748920374546036,0.4684221930131263,0.2309881758725814,0.20362392365786844,0.09696570745642388
4,0.5670358308176757,0.20468268826949546,0.16014748058336162,0.0681340003294672,0.473911511649983,0.2343827661581261,0.20257124173397245,0.08913448045791844
5,0.5917343447131054,0.19470019576785122,0.1514930256793933,0.06207243383965011,0.47910418459236404,0.23755291818821386,0.2012401890712382,0.08210270814818388
6,0.6148399769821804,0.18520455517042947,0.14330626211475786,0.05664920573263227,0.4840162427311453,0.24044916280070003,0.1996471815194237,0.07588741294873094
7,0.636455457363472,0.17617202242967836,0.13556191560109007,0.05181060460575959,0.488662850639346,0.2430263050670808,0.19781186561346048,0.07049897868011273
8,0.6566768902449841,0.16758001150890983,0.12823607768599093,0.04750702056011513,0.4930583533884055,0.2452441295442369,0.19575687627307362,0.06594064079428405
9,0.6755941819529868,0.15940703790544333,0.1213061319425267,0.04369264819904316,0.49721632083448397,0.24706802782297285,0.1935075576467035,0.062208093695839656
10,0.6932914404837041,0.15163266492815836,0.11475068414748656,0.04032521044065103,0.5011495895115081,0.2484695385806676,0.1910916505425557,0.059289221365268624
11,0.7098473494551003,0.14423745259512166,0.10854949623284438,0.03736570171693365,0.5048703022602934,0.24942679171069468,0.1885389503016874,0.05716395572732452
12,0.7253355179413892,0.1372029090235066,0.1026834238065184,0.034778149228585825,0.508389945716089,0.24992484959812164,0.18588093933257474,0.055804265353214644
13,0.7398248077456591,0.130511444190254,0.09713435704954247,0.032529391014544454,0.5117193857702745,0.24995594021619494,0.18315039883910683,0.05517427517442369
14,0.7533796395657009,0.12414632594785238,0.09188516480718532,0.03058886967926143,0.5148689011156888,0.2495195784062181,0.18038100453055805,0.055230515947535
15,0.7660602794142788,0.11809163818525367,0.08691964170141564,0.0289284406990519,0.5178482149791506,0.2486225734482908,0.1776069112996406,0.05592230027291803
16,0.7779231065672938,0.11233224102930539,0.0822224581014375,0.027522194301963315,0.5206665251391375,0.24727892280477046,0.17486233199079604,0.057192220065296034
17,0.789020864231162,0.10685373298718166,0.0777791127978446,0.02634628998381172,0.5233325323212933,0.24550959369455355,0.17218111545376902,0.058976758530384144
18,0.799402894043899,0.10164241493514978,0.07357588823428847,0.025378802786662782,0.525854467059427,0.24334219590663764,0.16959632908632144,0.06120700794761397
19,0.8091153554525208,0.09668525586362531,0.06959980815845106,0.024599580525402856,0.5282401151049294,0.24081055095859816,0.1671398510145806,0.06380948292189184
20,0.8182014309421366,0.09196986029286058,0.06583859756158111,0.023990111203421705,0.5304968414630513,0.2379541643231187,0.1648419769406541,0.06670701727317588
21,0.8267015180291968,0.08748443727778883,0.06228064478291954,0.02353339991009485,0.5326316131302483,0.23481760895830267,0.16273104650625309,0.06981973140519593
22,0.8346534088725186,0.08321777092451989,0.05891496566202147,0.023213854540940042,0.5346510206027871,0.23144982976156994,0.16083309378037497,0.07306605585526796
23,0.8420924583006552,0.0791591923447633,0.05573116962830617,0.023017179726275372,0.5365612982230163,0.22790337980090264,0.15917152618157523,0.07636379579450578
24,0.8490517410026723,0.07529855297805052,0.052719427623145354,0.022930278396131792,0.5383683434261128,0.224233600241796,0.15776683579467396,0.0796312205374172
25,0.8555621985812192,0.07162619921504752,0.049870441755459245,0.022941160448274052,0.5400777349467245,0.22049775676688044,0.15663634664222378,0.08278816164417127
26,0.8616527771217016,0.06813294825850315,0.04717541659714,0.02303885802265522,0.541694750041716,0.21675414596409676,0.15579400102763563,0.08575710296655165
27,0.8673505558892067,0.06481006516147288,0.044626032029685965,0.023213346919634427,0.5432243807821884,0.21306118562793935,0.15525018758498885,0.08846424600488342
28,0.8726808677253726,0.06164924098540162,0.04221441755821804,0.02345547373100778,0.5446713494650692,0.2094765031693114,0.15501161315618445,0.09084053420943491
